"code","label","description"
"01","diffuse astrocytoma, IDH-mutant ","Diffuse astrocytoma, IDH-mutant (9400/3) "
"02","diffuse astrocytoma, IDH-wildtype","Diffuse astrocytoma, IDH-wildtype (9400/3)"
"03","anaplastic astrocytoma, IDH-mutant","Anaplastic astrocytoma, IDH-mutant (9401/3)"
"04","anaplastic astrocytoma, IDH-wildtype","Anaplastic astrocytoma, IDH-wildtype (9401/3)"
"05","glioblastoma, IDH-wildtype","Glioblastoma, IDH-wildtype (9440/3)"
"06","oligodendroglioma, IDH-mutant and 1 p/19q co-deleted","Oligodendroglioma, IDH-mutant and 1 p/19q co-deleted (9450/3)"
"07","anaplastic oligodendroglioma, IDH-mutant and 1 p/19q co-deleted","Anaplastic oligodendroglioma, IDH-mutant and 1 p/19q co-deleted (9451/3)"
"08","medulloblastoma, SHH-activated and TP53-wildtype","Medulloblastoma, SHH-activated and TP53-wildtype (9471/3)"
"09","embryonal with multilayered rosettes, C19MC-altered","Embryonal tumor with multilayered rosettes, C19MC-altered (9478/3)"
"85","not applicable","Not applicable: Histology not 9400/3, 9401/3, 9440/3, 9450/3, 9451/3, 9471/3, 9478/3 "
"86","benign or borderline","Benign or borderline tumor"
"87","test ordered, results unknown","Test ordered, results not in chart"
"88","not applicable: information not collected for this case","Not applicable: Information not collected for this case"
"99","not documented in patient record; no microscopic confirmation; brain molecular markers not assessed or unknown if assessed","Not documented in patient record; no microscopic confirmation; brain molecular markers not assessed or unknown if assessed"
