"code","label","description"
"00","none","No transplant procedure or endocrine therapy was administered as part of first course therapy; diagnosed at autopsy"
"10","bone marrow transplant, NOS","Bone marrow transplant procedure was administered, but the type was not specified."
"11","bone marrow transplant, autologous","Bone marrow transplant-autologous"
"12","bone marrow transplant, allogeneic","Bone marrow transplant-allogeneic"
"20","stem cell harvest and infusion","Stem cell harvest and infusion"
"30","endocrine surgery/radiation","Endocrine surgery and/or endocrine radiation therapy."
"40","endocrine surgery/radiation and transplant","Combination of endocrine surgery and/or radiation with a transplant procedure. (combination of codes 30 and 10, 11, 12 or 20)."
"82","not administered, patient risk","Hematologic transplant and/or endocrine surgery/radiation was not recommended/administered because it was contraindicated due to patient risk factors (i.e., comorbid conditions, advanced age)."
"85","not administered, patient death","Hematologic transplant and/or endocrine surgery/radiation was not administered because the patient died prior to planned or recommended therapy."
"86","recommended, not administered, NOS","Hematologic transplant and/or endocrine surgery/radiation was not administered. It was recommended by the patient's physician, but was not administered as part of first-course therapy. No reason was stated in the patient record."
"87","recommended, refused","Hematologic transplant and/or endocrine surgery/radiation was not administered; it was recommended by the patient's physician, but this treatment was refused by the patient, the patient's family member, or the patient's guardian; refusal noted in patient record"
"88","recommended, unknown if administered","Hematologic transplant and/or endocrine surgery/radiation was recommended, but it is unknown if it was administered"
